label,category,subject,body
ham,ham_business,"Project Status Meeting - Friday 2 PM","Hi Team, Please join us this Friday at 2:00 PM for our weekly sprint review and status update. The agenda includes sprint retrospective, upcoming milestones, and budget allocation for Q3. Meeting link will be on Google Calendar. Best regards, Sarah."
ham,ham_business,"Quarterly Financial Report Q2 Final Review","Attached is the updated financial summary for Q2. Please review the operating expenditures and revenue targets before our executive board presentation next Tuesday. Let me know if any figures require adjustment."
ham,ham_business,"Code Review: Pull Request #142 Merged","Your pull request #142 'Fix pagination in search endpoints' has been reviewed and successfully merged into main branch. Automated tests passed without errors. Thank you for your contribution."
ham,ham_personal,"Dinner plans this weekend?","Hey! Hope you are having a productive week. Are we still on for dinner this Saturday evening downtown? Let me know what cuisine you feel like having. Cheers, David."
ham,ham_transactional,"Your Order Confirmation #89214 - TechStore","Thank you for your purchase from TechStore. Your order #89214 for 1x Wireless Keyboard has been processed and is preparing for shipment. Tracking number will be emailed once dispatched. Total paid: $49.99 via Visa ending in 4120."
ham,ham_business,"Academic Seminar: AI in Cybersecurity Advances","Dear Department Members, You are cordially invited to attend the guest lecture on 'Machine Learning for Threat Detection' on October 14th in Lecture Hall 3. Coffee and refreshments will be served at 10 AM. Prof. Alan Miller."
ham,ham_business,"System Maintenance Window Notice","Dear Employees, IT Services will be performing scheduled network maintenance on Saturday between 02:00 AM and 04:00 AM UTC. Internal file servers and VPN access may experience brief interruptions during this period. No action is required."
ham,ham_transactional,"Your Subscription Invoice #INV-2026-08","Here is your monthly invoice for Cloud Services. Plan: Standard Tier, Amount: $29.00. Payment method: Credit Card on file. You can download the PDF receipt from your account billing settings."
ham,ham_personal,"Book club notes and next month selection","Hello everyone! Thanks for the great discussion yesterday on 'Clean Code'. Next month we will be reading 'Designing Data-Intensive Applications'. Hope to see you all on the 15th."
ham,ham_business,"Campus Library Return Reminder","Dear Student, This is an automated notification from the University Library. You have 2 books due for return on September 5th: 'Introduction to Algorithms' and 'Computer Networks'. You may renew them online if no holds exist."
ham,ham_business,"Office Holiday Schedule Announcement","Dear Colleagues, Please be reminded that the company offices will be closed on Monday for the upcoming Public Holiday. Normal business operations will resume on Tuesday morning. Wishing everyone a restful long weekend."
ham,ham_transactional,"Ticket Confirmation: Flight to London Heathrow","Your flight reservation with Global Airlines is confirmed. Booking Reference: GLB78X. Passenger: John Doe. Departure: JFK 08:30 AM. Please arrive at the airport 3 hours prior to departure for international check-in."
ham,ham_business,"Feedback on your research proposal","Hi Michael, I reviewed your final year project proposal regarding spam and phishing detection systems. The methodology looks solid and the hybrid approach is well justified. Let us discuss the evaluation metrics during office hours tomorrow."
ham,ham_personal,"Photos from the mountain hiking trip","Hey everyone, I uploaded the photos from our weekend hike to the shared drive. It was such a great trail! Let me know if you want the high resolution raw files."
ham,ham_business,"Welcome to the Engineering Slack Workspace","Welcome to the engineering team! To get started, please check the pinned messages in #general and #dev-setup. If you have any questions, reach out to your mentor or the tech lead."
ham,ham_business,"Interview Schedule - Graduate Software Engineer","Dear Candidate, Thank you for applying to the Graduate Software Engineer position. We would like to invite you for a 45-minute technical interview via Google Meet on Wednesday at 11:00 AM. Please confirm if this time works for you."
ham,ham_transactional,"Your Appointment is Confirmed - Health Clinic","This is a confirmation for your routine check-up appointment on September 12 at 10:30 AM with Dr. Robinson at Central Health Clinic. Please bring your photo ID and insurance card."
ham,ham_business,"Updated Project Roadmap and Milestones","Please find the updated Gantt chart and deliverables for Phase 2 attached. Key deliverables are due by the end of next month. Reach out if you anticipate any resource bottlenecks."
ham,ham_personal,"Recipe for the pasta sauce you asked for","Hi! Here is the recipe: 2 cans of San Marzano tomatoes, 4 cloves of garlic, fresh basil, olive oil, and a pinch of chili flakes. Simmer on low heat for 40 minutes. Let me know how it turns out!"
ham,ham_business,"Department Budget Allocation Review","Dear Faculty, The revised budget allocations for lab equipment and student research grants have been finalized. Please submit any purchase requisition forms by the 25th of this month."
spam,spam_promotional,"CONGRATULATIONS! You Won $1,000,000 in International Lottery!","DEAR BENEFICIARY, YOU HAVE BEEN SELECTED AS THE LUCKY WINNER OF 1,000,000 DOLLARS IN THE GLOBAL EMAIL LOTTERY SWEEPSTAKES! CLAIM YOUR CASH PRIZE IMMEDIATELY BY CONTACTING CLAIMS AGENT WITH YOUR FULL NAME, ADDRESS, AND BANK DETAILS!"
spam,spam_promotional,"Guaranteed Weight Loss Miracle Pill - Lose 20lbs in 7 Days!","Discover the revolutionary miracle fat burner doctors are stunned by! 100% natural herbal formula melt away belly fat effortlessly without diet or exercise. Order now and get 70% discount + free shipping worldwide! Limited stock!"
spam,spam_promotional,"Exclusive Offer: Low Interest Loans Approved in 10 Minutes!","Need quick cash? Get instant personal or business loans up to $50,000 with 1.5% interest rate. No credit check required, no collateral, guaranteed instant approval directly to your bank account. Apply today!"
